id,engine run time,intake_air_temperature,throttle_positio,engine_rpm,vehicle_speed,coolant_temperature
305,842,17,13,748,10,67
306,844,17,18,980,13,67
307,845,17,20,1394,19,68
308,846,17,14,1279,22,68
309,848,17,22,1211,24,68
310,849,18,13,1357,28,68
311,850,17,14,798,28,68
312,852,17,13,741,23,69
313,854,17,13,729,20,69
314,855,17,13,734,19,69
315,856,17,13,727,15,69
316,857,17,13,737,9,69
317,859,17,13,749,5,69
318,860,17,16,1051,7,69
319,861,18,17,1837,13,70
320,862,17,19,1099,15,70
321,864,17,21,1501,21,70
322,865,18,14,1439,24,70
323,866,17,13,828,24,70
324,868,17,13,761,24,71
325,869,17,16,1180,23,71
